rank,endurance_per_1000usd,max_flight_time_hover_min,airframe_id,airframe,battery,cells_s,all_up_mass_g,hover_throttle_pct,thermal,sbc,dvr,vtx,fpv_cam,gps,rx,video_format,ground_receiver,sbc_fit_status,deck_lxw_mm,sbc_dims_mm,battery_mount,physical_fit_note,drone_cost_usd,gcs_cost_usd,total_system_cost_usd,meets_budget_r4,meets_r6_30min,meets_r8_60min
11,30.04,46.6,AF3a,iFlight Chimera9 ECO,Lumenier NAV 10000mAh 6S 21700 Li-Ion,6,1805.7,15.4,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1376.97,175.45,1552.42,True,True,False
12,29.86,49.4,AF3a,iFlight Chimera9 ECO,Upgrade Energy RED V3 6S2P 10Ah Molicel P50B,6,1698.7,14.5,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1478.98,175.45,1654.43,True,True,False
13,29.01,47.3,AF4a,DarwinFPV X9,Upgrade Energy GREEN V1 6S2P 10Ah Samsung 50S,6,1752.7,13.5,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1454.97,175.45,1630.42,True,True,False
14,28.78,48.1,AF3a,iFlight Chimera9 ECO,Upgrade Energy GREEN V1 6S2P 10Ah Samsung 50S,6,1730.7,14.8,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1496.97,175.45,1672.42,True,True,False
15,27.52,40.8,AF4a,DarwinFPV X9,iFlight Fullsend 6S 8000mAh EVE INR21700-40PL,6,1692.7,13.0,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1307.97,175.45,1483.42,True,True,False
16,27.24,41.6,AF3a,iFlight Chimera9 ECO,iFlight Fullsend 6S 8000mAh EVE INR21700-40PL,6,1670.7,14.2,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1349.97,175.45,1525.42,True,True,False
17,26.39,40.9,AF4a,DarwinFPV X9,Lumenier NAV 12000mAh 6S 21700 XT90,6,2254.7,17.4,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1374.97,175.45,1550.42,True,True,False
18,26.05,41.5,AF3a,iFlight Chimera9 ECO,Lumenier NAV 12000mAh 6S 21700 XT90,6,2232.7,19.0,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,included with airframe,GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,fits,110x70,90x62,top,fits (SBC on a raised tier; battery on deck) — 8 mm spare,1416.97,175.45,1592.42,True,True,False
19,25.99,36.7,AF4a,DarwinFPV X9,DOGCOM 6S1P 5000mAh Samsung 50S,6,1297.7,10.0,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1234.98,175.45,1410.43,True,True,False
20,25.95,37.5,AF4a,DarwinFPV X9,iFlight Fullsend 6S2P 6000mAh Samsung 30Q,6,1460.7,11.3,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1269.45,175.45,1444.9,True,True,False
21,25.91,38.8,AF4a,DarwinFPV X9,GNB 8000mAh 6S2P Samsung 21700 40T,6,1756.7,13.5,PurpleRiver Mini 640 (T13),NanoPi M5 (4 GB) (SBC3),(none — SBC records) (—),included with airframe,included with airframe,TBS M10 GPS (G6),GEPRC ELRS Nano 2.4G PA100 (GEPRCNanoPA100),CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,marginal,100x60,90x62,top,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",1320.97,175.45,1496.42,True,True,False
